loc,title,institution,start,end,description_1,description_2,description_3,section,order
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"Postdoc - Plant hydraulics & trait trade-offs, forest ecology and biogeography","INRAE, Bordeaux, France",2021,9999,"Using big trait databases and forest inventory data, we are investigating how plant functional traits (embolism resistance, frost tolerance) interact and how they shape tree species distributions and forest dynamics and ecology.",NA,NA,research_positions,NA
[Frederic Lens's lab ](https://www.naturalis.nl/en/functional-traits),"Postdoc - Herb hydraulics, positive root pressure and drought resistance in Brassicaceae","Naturalis, Leiden, The Netherlands",2019,2021,"This project combines classical plant hydraulics adapted to non-woody species with xylem anatomy, micro-CT and modeling to obtain a holistic picture of herb hydraulics during drought. We are notably looking at positive root pressure, which has been hypothesized to aid in recovering from drought by refilling embolised xylem conduits.",NA,NA,research_positions,NA
[Stacey Smith's lab ](https://www.colorado.edu/smithlab/), "Postdoc - Evolution of the anthocyanin pathway in Iochrominae","University of Colorado, Boulder, USA",2017,2019,"In Iochrominae, several lineages have independently lost floral anthocyanin pigmentation altogether, resulting in white or yellow flowers. We found that the mechanism behind these fixed evolutionary losses is convergent down-expression in three downstream genes of the pigment biosynthetic pathway.",NA,NA,research_positions,NA
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"PhD - Evolution of cavitation resistance in conifers","Université de Bordeaux, France",2012,2016,"This thesis expands our understanding of the evolution of vascular plants regarding severe drought. We show that embolism resistance varies 9-fold across over 250 conifer species, thanks to changes in bordered-pit anatomy. Combining this unprecedented database with a calibrated phylogeny, we link embolism resistance evolution to increased diversification rate. Furthermore, we describe the remarkable evolution of *Callitris* xylem during the aridification of Australia over the last 30 million years.",*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,research_positions,NA
"*Supervisor*: Sylvain Delzon","Research assistant - Evolutionary patterns of cavitation resistance in conifers (6 months)","Université de Bordeaux, France",2012,2012,NA,NA,NA,research_positions,NA
"*Supervisor*: Sylvain Delzon","MSc thesis - Convergent evolution of drought tolerance in conifers (6 months)","Université de Bordeaux, France",2011,2011,NA,NA,NA,research_positions,NA
"*Supervisor*: Guillaume Besnard","MSc thesis - Population genetics of the olive (*Olea europaea*) complex (2 months)","Imperial College London, UK",2010,2010,NA,NA,NA,research_positions,NA
Université de Bordeaux,"PhD in evolutionary, functional and community ecology.<br/> *Thesis*: Evolution of cavitation resistance in conifers","Bordeaux, France",2012,2016,*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,NA,education,1
Université de Bordeaux,"MSc - Terrestrial Ecosystem Functioning and Modelling","Bordeaux, France",2010,2011,NA,NA,NA,education,2
"Université d'Orléans","BSc - Organismal Biology","Orléans, France",2005,2008,NA,NA,NA,education,3
NA,"A Thonglim, G Bortolami, S Delzon, **M Larter**, R Offringa, F Lens et al. (2022) Drought response in Arabidopsis displays synergistic coordination between stems and leaves, *Journal of Experimental Botany.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim_et_al_2022_JExpBot.pdf)",NA,2022,2022,NA,NA,NA,academic_articles,NA
NA,"Y Song, XP Bouteiller, **M Larter**, C Plomion, F Sin, S Delzon, (2022) A safe breeding ground: genetically improved maritime pine for growth and stem form has more efficient but not more vulnerable xylem, *Tree Physiology* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Song_et_al_2022_TreePhys_Safe_breeding_ground_maritime_pine.pdf)",NA,2022,2022,NA,NA,NA,academic_articles,NA
NA,"A Hooft van Huysduynen, S Janssens, V Merckx, R Vos, L Valente, **M Larter** et al. (2021) Temporal and palaeoclimatic context of the evolution of insular woodiness in the Canary Islands, *Ecology and Evolution* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Hooft%20et%20al%202021%20ECE%20-%20Canaries.pdf)",NA,2021,2021,NA,NA,NA,academic_articles,NA
NA,"A Thonglim, S Delzon, **M Larter**, O Karami, A Rahimi, R Offringa et al. (2020) Intervessel pit membrane thickness best explains variation in embolism resistance amongst stems of Arabidopsis thaliana accessions, *Annals of Botany.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim%20et%20al%202020%20AOB.pdf)",NA,2020,2020,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2019) Developmental control of convergent floral pigmentation across evolutionary timescales, *Developmental dynamics*, 248 (11), 1091-1100. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202019%20DVDY%20-%20Developmental%20control%20of%20convergent%20floral%20pigmentation%20across%20evolutionary%20timescales.pdf)",NA,2019,2019,NA,NA,NA,academic_articles,NA
NA,"R Deanna, **M Larter**, GE Barboza, SD Smith (2019) Repeated evolution of a morphological novelty: a phylogenetic analysis of the inflated fruiting calyx in the Physalideae tribe (Solanaceae), *American Journal of Botany*, 106 (2), 270-279. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Deanna%20et%20al%202019%20AmJBot%20-%20Repeated%20evolution%20of%20a%20morphological%20novelty%20a%20phylogenetic%20analysis%20of%20the%20inflated%20fruiting%20calyx%20in%20the%20Physalideae%20tribe%20(Solanaceae).pdf)",NA,2019,2019,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2018) Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions, *Molecular biology and evolution*, 35 (9), 2159-2169. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202018%20MBE%20-%20Convergent%20evolution%20at%20the%20pathway%20level%20predictable%20regulatory%20changes%20during%20flower%20color%20transitions.pdf)",NA,2018,2018,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, S Pfautsch, JC Domec, S Trueba, N Nagalingum, S Delzon (2017) Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris, *New Phytologist*, 215 (1), 97-112. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_et_al_2017_New_Phytologist%20Aridity%20drove%20the%20evolution%20of%20extreme%20embolism%20resistance%20and%20the%20radiation%20of%20conifer%20genus%20Callitris.pdf)",NA,2017,2017,NA,NA,NA,academic_articles,NA
