loc,title,institution,start,end,description_1,description_2,description_3,section,order
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"Postdoc - modelling urban heat islands and carbon storage","INRAE, Bordeaux, France",2025,2025,"Model the impacts of management, development and 
land use changes on local temperature and carbon storage on the university campus.",NA,NA,research_positions,NA
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"Postdoc - Plant hydraulics & trait trade-offs, forest ecology and biogeography","INRAE, Bordeaux, France",2021,2024,,NA,NA,research_positions,NA
[Frederic Lens's lab ](https://www.naturalis.nl/en/science/functional-traits),"Postdoc - Herb hydraulics, positive root pressure and drought resistance in Brassicaceae","Naturalis, Leiden, The Netherlands",2019,2021,,NA,NA,research_positions,NA
[Stacey Smith's lab ](https://www.colorado.edu/smithlab/), "Postdoc - Evolution of the anthocyanin pathway in Iochrominae","University of Colorado, Boulder, USA",2017,2019,,NA,NA,research_positions,NA
[Sylvain Delzon's lab ](http://sylvain-delzon.com/),"PhD - Evolution of cavitation resistance in conifers","Université de Bordeaux, France",2012,2016,,*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,research_positions,NA
Sections 66 Physiologie & 67 Biol. des populations et écologie,"Qualification CNU",,2022,2025,,NA,NA,education,1
Université de Bordeaux,"PhD in evolutionary, functional and community ecology.<br/> *Thesis*: Evolution of cavitation resistance in conifers","Bordeaux, France",2012,2016,*Supervisors*: Sylvain Delzon and Jean-Christophe Domec,NA,NA,education,1
Université de Bordeaux,"MSc - Terrestrial Ecosystem Functioning and Modelling","Bordeaux, France",,2011,NA,NA,NA,education,2
"Université d'Orléans","BSc - Organismal Biology","Orléans, France",,2008,NA,NA,NA,education,3
NA,"**M Larter**, G Charrier, S Delzon, W Hammond, A Baranger, C Bertrand, N Martin-StPaul, G Kunstler (2025) Weak global trade-off between frost and drought resistance in trees, *New Phytologist.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/2025_New_Phytologist_Larter_Weak_global_tradeoff_between_frost_and_drought_resistance_in_trees.pdf)",NA,2025,2025,NA,NA,NA,academic_articles,NA
NA,"A Baranger, T Cordonnier, G Charrier, S Delzon, **M Larter**, N Martin-StPaul, G Kunstler (2024) Living on the edge - physiological tolerance to frost and drought explains range limits of 35 European tree species, *Ecography.* [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Baranger_2024_ECOG_Proof.pdf)",NA,2024,2024,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2019) Developmental control of convergent floral pigmentation across evolutionary timescales, *Developmental dynamics*, 248 (11), 1091-1100. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202019%20DVDY%20-%20Developmental%20control%20of%20convergent%20floral%20pigmentation%20across%20evolutionary%20timescales.pdf)",NA,2019,2019,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith (2018) Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions, *Molecular biology and evolution*, 35 (9), 2159-2169. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202018%20MBE%20-%20Convergent%20evolution%20at%20the%20pathway%20level%20predictable%20regulatory%20changes%20during%20flower%20color%20transitions.pdf)",NA,2018,2018,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, S Pfautsch, JC Domec, S Trueba, N Nagalingum, S Delzon (2017) Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris, *New Phytologist.*, 215 (1), 97-112. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_et_al_2017_New_Phytologist%20Aridity%20drove%20the%20evolution%20of%20extreme%20embolism%20resistance%20and%20the%20radiation%20of%20conifer%20genus%20Callitris.pdf)",NA,2017,2017,NA,NA,NA,academic_articles,NA
NA,"**M Larter**, TJ Brodribb, S Pfautsch, R Burlett, H Cochard, S Delzon (2015) Extreme aridity pushes trees to their physical limits, *Plant Physiology*, 168 (3), 804-807. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202015%20Plant%20Phys%20Extreme%20aridity%20pushes%20trees%20to%20their%20physical%20limits.pdf)",NA,2015,2015,NA,NA,NA,academic_articles,NA
NA,"PS Bouche, **M Larter**, JC Domec, R Burlett, P Gasson, S Jansen, S Delzon (2014) A broad survey of hydraulic and mechanical safety in the xylem of conifers, *Journal of Experimental Botany*, 65 (15), 4419-4431. [pdf](https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bouche%20et%20al%20J%20Exp%20Bot%20-%202014%20A%20broad%20survey%20of%20hydraulic%20and%20mechanical%20safety%20in%20the%20xylem%20of%20conifers.pdf)",NA,2014,2014,NA,NA,NA,academic_articles,NA
"MSc courses Plant Physiology, Methods in Biodiversity Analysis",Guest Lectures (1h),Bordeaux U. & Leiden U.,,,NA,NA,NA,Teaching_Experience,NA
"1 BSc and 4 MSc - two leading to publications","Supervision of several 6 month student projects",Bordeaux U. & Leiden U.,,,NA,NA,NA,Teaching_Experience,NA
"New Phytologist, Tree Physiology, PCE, Evolution, American Journal of Botany, Plos One, BMC Evol. Biol.","Regular reviewer for scientific journals",,,,NA,NA,NA,Teaching_Experience,NA
"Conseil d'Unité UMR Biogeco","Postdoc and short term contract representative 2021-2022",Bordeaux (France),,,NA,NA,NA,Teaching_Experience,NA
Xylem International Meeting XIM6,Poster - "Weak global trade-off between frost and drought resistance in trees","Sevilla (Spain)",2025,2025,NA,NA,NA,Conferences_Presentations,NA
Xylem International Meeting XIM5,Talk - "Trade off in cold and drought tolerance in trees","Wurzburg (Germany)",2022,2022,NA,NA,NA,Conferences_Presentations,NA
Evolution Meeting,Talk - "Linking changes in gene expression to the macroevolution of flower color in Iochrominae","Portland, Oregon",2017,2017,NA,NA,NA,Conferences_Presentations,NA
Xylem International Meeting XIM2,Talk - "The evolution of cavitation resistance in conifers and the case of world-record *Callitris*",Bordeaux (France),2015,2015,NA,NA,NA,Conferences_Presentations,NA
"ANR projects, Calls for Recherche Inter-disciplinaire et Exploratoire and Prématuration-Innovation at Université de Bordeaux, Fondation pour la Recherche et la Biodiversité IDEASHARE & DATASHARE","Active participation in grant writing",,,,NA,NA,NA,Grants_&_funding,NA
"3,000€",External mobility grant from the COTE Cluster of Excellence,Bordeaux (France),2014,2014,NA,NA,NA,Grants_&_funding,NA
"AU$3350 <br/>",Research Exchange Program (Inbound),"Western Sydney University, NSW (Australia)",2014,2014,NA,NA,NA,Grants_&_funding,NA
"1,250€",Alberta Mennega Stichting fieldwork grant,Leiden (The Netherlands),2020,2020,NA,NA,NA,Grants_&_funding,NA
NA,""Three minute thesis" - MT180 Final	Université de Bordeaux - [view on Youtube](https://www.youtube.com/watch?v=nC1bzO36ZMA&ab_channel=Universit%C3%A9deBordeaux)",NA,2016,2016,NA,NA,NA,Outreach_Press_by_me,NA
NA,"Végétation, Villes : les acteurs du SCO vous en parlent - Space for Climate Observatory - [view on Youtube](https://www.youtube.com/watch?v=Lex-jE1hR1E)",NA,2025,2025,NA,NA,NA,Outreach_Press_by_me,NA
NA,"Tree physiology workshop - College Olympe de Gouges Cadaujac - [Climathon](https://www.acclimaterra.fr/nos-actions/en-nouvelle-aquitaine/climathon/climathon-a-cadaujac-college-olympe-de-gouges/)",NA,2025,2025,NA,NA,NA,Outreach_Press_by_me,NA
