loc,title,institution,start,end,description_1,description_2,description_3,section,order
Naturalis Biodiversity Center,Post-doctoral Fellow,"Leiden, The Netherlands",2019,9999,"Herb hydraulics, positive root pressure and drought resistance in Brassicaceae",*Supervisor* Frederic Lens,blabla,research_positions,NA
[Smith lab](https://www.colorado.edu/smithlab/)University of Colorado,Post-doctoral Fellow,"Boulder, Colorado",2017,2019,Evolution of the anthocyanin pathway in Iochrominae,*Supervisor* Stacey Smith [link to Smith lab homepage],NA,research_positions,NA
University of Bordeaux,PhD student,"Bordeaux, France",2012,2016,Evolution of cavitation resistance in conifers,*Supervisors* Sylvain Delzon and Jean-Christophe Domec,NA,research_positions,NA
University of Bordeaux,Research assistant - *6 months*,"Bordeaux, France",2012,2012,Evolutionary patterns of cavitation resistance in conifers,*Supervisor* Sylvain Delzon,NA,research_positions,NA
University of Bordeaux,Masters thesis - *6 months*,"Bordeaux, France",2011,2011,Convergent evolution of drought tolerance in conifers,*Supervisor* Sylvain Delzon,NA,research_positions,NA
Imperial College London,Masters thesis - *2 months*,"Silwood Park, Ascot, UK",2010,2010,Population genetics of the olive (Olea europaea) complex,*Supervisor* Guillaume Besnard,NA,research_positions,NA
University of Bordeaux,"PhD in evolutionary, functional and community ecology","Bordeaux, France",2012,2016,Evolution of cavitation resistance in conifers,*Supervisors* Sylvain Delzon and Jean-Christophe Domec,blabla,education,1
University of Bordeaux,Master's degree,"Bordeaux, France",2010,2011,Terrestrial Ecosystem Functioning and Modelling,NA,NA,education,2
University of Orléans,Bachelor's degree,"Orléans, France",2005,2008,Organismal Biology,NA,NA,education,3
"A Thonglim, S Delzon, **M Larter**, O Karami, A Rahimi, R Offringa *et al.*","Intervessel pit membrane thickness best explains variation in embolism resistance amongst stems of Arabidopsis thaliana accessions, Annals of Botany",NA,2020,2020,NA,NA,NA,academic_articles,NA
"AH van Huysduynen, S Janssens, V Merckx, R Vos, L Valente, A Zizka, **M Larter** et al.","Multiple origins of insular woodiness on the Canary Islands are consistent with palaeoclimatic aridification, bioRxiv",NA,2020,2020,NA,NA,NA,academic_articles,NA
"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith","Developmental control of convergent floral pigmentation across evolutionary timescales, Developmental Dynamics",NA,2019,2019,NA,NA,NA,academic_articles,NA
"R Deanna, **M Larter**, GE Barboza, SD Smith","*Repeated evolution of a morphological novelty: a phylogenetic analysis of the inflated fruiting calyx in the Physalideae tribe (Solanaceae)*, **American Journal of Botany**",NA,2019,2019,NA,NA,NA,academic_articles,NA
"**M Larter**, A Dunbar-Wallis, AE Berardi, SD Smith","Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions, Molecular Biology and Evolution",NA,2018,2018,NA,NA,NA,academic_articles,NA
"**M Larter**, S Pfautsch, JC Domec, S Trueba, N Nagalingum, S Delzon","Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris, New Phytologist",NA,2017,2017,NA,NA,NA,academic_articles,NA
"C Sáenz-Romero, **M Larter**, N González-Muñoz, C Wehenkel et al.","Mexican conifers differ in their capacity to face climate change, Journal of Plant Hydraulics",NA,2017,2017,NA,NA,NA,academic_articles,NA
"B Castagneyrol, H Jactel, EG Brockerhoff, N Perrette, **M Larter**, S Delzon et al","Host range expansion is density dependent, Oecologia",NA,2016,2016,NA,NA,NA,academic_articles,NA
**M Larter**,The evolution of cavitation resistance in conifers **PhD thesis**,Université de Bordeaux,2016,2016,NA,NA,NA,academic_articles,NA
"**M Larter**, TJ Brodribb, S Pfautsch, R Burlett, H Cochard, S Delzon","Extreme aridity pushes trees to their physical limits, Plant Physiology",NA,2015,2015,NA,NA,NA,academic_articles,NA
"PS Bouche, **M Larter**, JC Domec, R Burlett, P Gasson, S Jansen, S Delzon","A broad survey of hydraulic and mechanical safety in the xylem of conifers, Journal of Experimental Botany",NA,2014,2014,NA,NA,NA,academic_articles,NA
**M Larter**,"Le Pinetum de Bedgebury: «la plus belle collection de conifères du monde», **Jardins de France**",NA,2013,2013,NA,NA,NA,Outreach_Press_by_me,NA
"**M Larter**, P Bouche","Les conifères, une famille à évolution complexe, **Jardins de France**",NA,2013,2013,NA,NA,NA,Outreach_Press_by_me,NA
MSc course Methods in Biodiversity Analysis,Lecture (30 min) - Functional traits case study,Leiden University,2020,2020,NA,NA,NA,Teaching_Experience,NA
MSc course Plant Physiology,"Practical - plant physiology ""lab day""",Université de Bordeaux,2012,2012,NA,NA,NA,Teaching_Experience,NA
Society for Integrative and Comparative Biology,Poster - « Genetic basis of convergent evolution of the anthocyanin pathway and floral pigmentation in Iochrominae »,"Tampa, Florida",2019,2019,NA,NA,NA,Conferences_Presentations,NA
Evolution Meeting,Talk - « Linking changes in gene expression to the macroevolution of flower color in Iochrominae (Solanaceae) »,"Portland, Oregon",2017,2017,NA,NA,NA,Conferences_Presentations,NA
LabEx Day (LabEx COTE),Talk - « Evolution of drought tolerance in conifers - *Callitris* in Australia »,Bordeaux (France),2015,2015,NA,NA,NA,Conferences_Presentations,NA
Xylem International Meeting,Talk - « The evolution of cavitation resistance in conifers and the case of world-record Callitris »,NA,2015,2015,NA,NA,NA,Conferences_Presentations,NA
HIE Seminar Series - UWS,Talk - « The evolution of cavitation resistance in Conifers »,"Richmond, NSW (Australia)",2014,2014,NA,NA,NA,Conferences_Presentations,NA
