title,pdf_url
Integrating Gene Expression Analysis and Ecophysiological Responses to Water Deficit in Leaves of Tomato Plants, https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bortolami_tomato_drought_bioRxiv.pdf
Drought response in Arabidopsis displays synergistic coordination between stems and leaves,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim_et_al_2022_JExpBot.pdf
A safe breeding ground: genetically improved maritime pine for growth and stem form has more efficient but not more vulnerable xylem,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Song_et_al_2022_TreePhys_Safe_breeding_ground_maritime_pine.pdf
Temporal and palaeoclimatic context of the evolution of insular woodiness in the Canary Islands, https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Hooft%20et%20al%202021%20ECE%20-%20Canaries.pdf
Intervessel pit membrane thickness best explains variation in embolism resistance amongst stems of Arabidopsis thaliana accessions,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Thonglim%20et%20al%202020%20AOB.pdf
Multiple origins of insular woodiness on the Canary Islands are consistent with palaeoclimatic aridification,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Hooft%20et%20al%202020%20BioRxiv%20-%20Mulitple%20origins%20of%20insular%20woodiness%20on%20the%20Canary%20Islands%20are%20consistent%20with%20palaeoclimatic%20aridification.pdf
Repeated evolution of a morphological novelty: a phylogenetic analysis of the inflated fruiting calyx in the Physalideae tribe (Solanaceae),https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Deanna%20et%20al%202019%20AmJBot%20-%20Repeated%20evolution%20of%20a%20morphological%20novelty%20a%20phylogenetic%20analysis%20of%20the%20inflated%20fruiting%20calyx%20in%20the%20Physalideae%20tribe%20(Solanaceae).pdf
Developmental control of convergent floral pigmentation across evolutionary timescales,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202019%20DVDY%20-%20Developmental%20control%20of%20convergent%20floral%20pigmentation%20across%20evolutionary%20timescales.pdf
Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202018%20MBE%20-%20Convergent%20evolution%20at%20the%20pathway%20level%20predictable%20regulatory%20changes%20during%20flower%20color%20transitions.pdf
Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_et_al_2017_New_Phytologist%20Aridity%20drove%20the%20evolution%20of%20extreme%20embolism%20resistance%20and%20the%20radiation%20of%20conifer%20genus%20Callitris.pdf
Mexican conifers differ in their capacity to face climate change,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Saenz-Romero%20et%20al.%202017%20JPH%20Mexican%20conifers%20differ%20in%20their%20capacity%20to%20face%20climate%20change.pdf
Host range expansion is density dependent,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Castagneyrol%202016%20Oecologia%20Host%20range%20expansion%20is%20density%20dependent.pdf
The evolution of cavitation resistance in conifers,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter_2016_PhD%20Thesis.pdf
Extreme aridity pushes trees to their physical limits,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20et%20al%202015%20Plant%20Phys%20Extreme%20aridity%20pushes%20trees%20to%20their%20physical%20limits.pdf
A broad survey of hydraulic and mechanical safety in the xylem of conifers,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bouche%20et%20al%20J%20Exp%20Bot%20-%202014%20A%20broad%20survey%20of%20hydraulic%20and%20mechanical%20safety%20in%20the%20xylem%20of%20conifers.pdf
History of the invasive African olive tree in Australia and Hawaii: evidence for sequential bottlenecks and hybridization with the Mediterranean olive,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Besnard_et_al-2014-Evolutionary_Applications_History_of_the_invasive_African_olive_tree_in_Australia_and_Hawaii_bottlenecks.pdf
"Les conifères, une famille à évolution complexe",https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Bouche%20Larter%20-%202013%20-%20Les%20conif%C3%A8res%2C%20une%20famille%20%C3%A0%20%C3%A9volution%20complexe%20-%20Jardins%20de%20France.pdf
Le Pinetum de Bedgebury:«la plus belle collection de conifères du monde»,https://github.com/MaxLarter/maxlarter.github.io/blob/master/_pdfs/Larter%20-%202013%20-%20Le%20Pinetum%20de%20Bedgebury%20-%20Jardins%20de%20France.pdf
