title,author,journal,number,cites,year,cid,pubid
MYB regulator of ‘colorless’ flavonols underlies the evolution of red flowers in Iochroma (Solanaceae),"LC Wheeler, M Larter, SD Smith",EcoEvoRxiv,,0,2025,NA,KxtntwgDAa4C
Living on the edge–physiological tolerance to frost and drought explains range limits of 35 European tree species,"A Baranger, T Cordonnier, G Charrier, S Delzon, M Larter, ...","Ecography, e",e07528,3,2024,12654795381037671973,nb7KW1ujOQ8C
Integrating gene expression analysis and ecophysiological responses to water deficit in leaves of tomato plants,"G Bortolami, TA de Werk, M Larter, A Thonglim, B Mueller-Roeber, ...",Scientific Reports,"14 (1), 29024",2,2024,10617349273235231757,NhqRSupF_l8C
High and variable hydraulic resistance to embolism among three Asian juniper species,"M Larter, A Akhmedov, C Payne, S Delzon, T & Klein",Journal of Plant Hydraulics,10 (2),2,2024,13379835357532128946,CHSYGLWDkRkC
Global variation and trade-offs of frost and drought resistance in woody plants,"M Larter, G Charrier, S Delzon, A Baranger, G Kunstler",,,0,2024,NA,1sJd4Hv_s6UC
Drought response in Arabidopsis displays synergistic coordination between stems and leaves,"A Thonglim, G Bortolami, S Delzon, M Larter, R Offringa, JJB Keurentjes, ...",Journal of Experimental Botany,"74 (3), 1004-1021",17,2023,6715070961177149078,EUQCXRtRnyEC
A safe breeding ground: genetically improved maritime pine for growth and stem form has more efficient but not more vulnerable xylem,"Y Song, XP Bouteiller, M Larter, C Plomion, F Sin, S Delzon",Tree Physiology,"43 (3), 366-378",7,2023,7762512145245327257,_xSYboBqXhAC
The global vulnerability of plant xylem,"W Hammond, H Morris",,,3,2022,13649072858852622001,bFI3QPDXJZMC
Xylem functional trait trade-offs and tree species responses to drought and cold stresses in NA and EU forests,"M Larter, L Touzot, A Baranger, C Payne, G Capdeville, T Cordonnier, ...",,,0,2022,NA,b0M2c_1WBrUC
Intervessel pit membrane thickness best explains variation in embolism resistance amongst stems of Arabidopsis thaliana accessions,"A Thonglim, S Delzon, M Larter, O Karami, A Rahimi, R Offringa, ...",Annals of Botany,"128 (2), 171-182",47,2021,13103301200659352263,D03iK_w7-QYC
Temporal and palaeoclimatic context of the evolution of insular woodiness in the Canary Islands,"A Hooft van Huysduynen, S Janssens, V Merckx, R Vos, L Valente, ...",Ecology and Evolution,"11 (17), 12220-12231",31,2021,2418848309487849389,f2IySw72cVMC
Repeated evolution of a morphological novelty: a phylogenetic analysis of the inflated fruiting calyx in the Physalideae tribe (Solanaceae),"R Deanna, MD Larter, GE Barboza, SD Smith",American Journal of Botany,"106 (2), 270-279",53,2019,16499343858503107949,3s1wT3WcHBgC
Developmental control of convergent floral pigmentation across evolutionary timescales,"M Larter, A Dunbar‐Wallis, AE Berardi, SD Smith",Developmental Dynamics,"248 (11), 1091-1100",14,2019,7438410019076898696,u_35RYKgDlwC
Convergent evolution at the pathway level: predictable regulatory changes during flower color transitions,"M Larter, A Dunbar-Wallis, AE Berardi, SD Smith",Molecular Biology and Evolution,"35 (9), 2159-2169",51,2018,11201834981456518859,SeFeTyx0c_EC
Aridity drove the evolution of extreme embolism resistance and the radiation of conifer genus Callitris,"M Larter, S Pfautsch, JC Domec, S Trueba, N Nagalingum, S Delzon",New Phytologist,"215 (1), 97-112",205,2017,4804134455145345797,M05iB0D1s5AC
Mexican conifers differ in their capacity to face climate change,"C Sáenz-Romero, M Larter, N González-Muñoz, C Wehenkel, ...",Journal of Plant Hydraulics,"4, e003",16,2017,"5266428869511454346,17018064034514700464",2P1L_qKh6hAC
Host range expansion is density dependent,"B Castagneyrol, H Jactel, EG Brockerhoff, N Perrette, M Larter, S Delzon, ...",Oecologia,"182 (3), 779-788",25,2016,"1773796631811663665,16343117280638727458",vV6vV6tmYwMC
The evolution of cavitation resistance in conifers,M Larter,Université de Bordeaux,,4,2016,"12665305439204621830,4400578564590185328",70eg2SAEIzsC
Extreme aridity pushes trees to their physical limits,"M Larter, TJ Brodribb, S Pfautsch, R Burlett, H Cochard, S Delzon",Plant Physiology,"168 (3), 804-807",81,2015,12592353405320477884,RYcK_YlVTxYC
A broad survey of hydraulic and mechanical safety in the xylem of conifers,"PS Bouche, M Larter, JC Domec, R Burlett, P Gasson, S Jansen, S Delzon",Journal of Experimental Botany,"65 (15), 4419-4431",229,2014,"7598971997742984615,1531316099610413598",RGFaLdJalmkC
History of the invasive African olive tree in Australia and Hawaii: evidence for sequential bottlenecks and hybridization with the Mediterranean olive,"G Besnard, J Dupuy, M Larter, P Cuneo, D Cooke, L Chikhi",Evolutionary Applications,"7 (2), 195-211",45,2014,7337423886656513929,u5HHmVD_uO8C
"Les conifères, une famille à évolution complexe","M Larter, P Bouche",Jardins de France,,1,2013,15160569676475268193,cFHS6HbyZ2cC
MYB regulator of ‘colorless’ flavonols underlies the evolution of red flowers in Iochroma 1,"LC Wheeler, M Larter, SD Smith",gene,"14, 15",0,2013,NA,SP6oXDckpogC
Le Pinetum de Bedgebury:«la plus belle collection de conifères du monde»,M Larter,Jardins de France,,0,2013,NA,dfsIfKJdRG4C
Flavonol-regulating MYB underlies the evolution of red flowers in Iochroma,"LC Wheeler, M Larter, SD Smith",Phytochemistry,"130, 119-2",0,NA,NA,dshw04ExmUIC
